Rank,Mountain,MountainLink,Height,Drop,lat,lon,rangeac,Range,Region,Country,Firstascent,MountainImgSrc
16,Dent d'Hérens,/wiki/Dent_d%27H%C3%A9rens,4174,701,45.97,7.605277777777777,Weisshorn-Matterhorn,I/B-09.II-A,Valais/Aosta,CH/IT,1863,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Dent_d%27H%C3%A9rens%2C_north_face.jpg/285px-Dent_d%27H%C3%A9rens%2C_north_face.jpg
17,Breithorn,/wiki/Breithorn,4164,439,45.941111111111105,7.748888888888889,Monte Rosa Alps,I/B-09.III-A,Valais/Aosta,CH/IT,1813,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Breithorn_north.jpg/285px-Breithorn_north.jpg
18,Jungfrau,/wiki/Jungfrau,4158,687,46.53666666666666,7.9625,Bernese Alps,I/B-12.II-B,Bern/Valais,CH,1811,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Jungfrau03.jpg/285px-Jungfrau03.jpg
19,Aiguille Verte,/wiki/Aiguille_Verte,4122,689,45.93472222222222,6.970277777777778,Mont Blanc massif,I/B-07.V-B,Upper Savoy,FR,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Aiguille_Verte_ateabutnoe.jpg/280px-Aiguille_Verte_ateabutnoe.jpg
20,Mönch,/wiki/M%C3%B6nch,4107,584,46.55833333333333,7.997222222222223,Bernese Alps,I/B-12.II-B,Bern/Valais,CH,1857,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/M%C3%B6nch_and_Eigergletscher.jpg/285px-M%C3%B6nch_and_Eigergletscher.jpg
21,Barre des Écrins,/wiki/Barre_des_%C3%89crins,4102,2045,44.9225,6.359999999999999,Massif des Écrins,I/A-05.III-A,Hautes-Alpes,FR,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Barre_des_%C3%89crins_%26_Glacier_Blanc.JPG/250px-Barre_des_%C3%89crins_%26_Glacier_Blanc.JPG
22,Schreckhorn,/wiki/Schreckhorn,4078,792,46.59,8.118055555555555,Bernese Alps,I/B-12.II-C,Bern,CH,1861,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Schreckhorn_peak.jpg/285px-Schreckhorn_peak.jpg
23,Ober Gabelhorn,/wiki/Ober_Gabelhorn,4063,536,46.03861111111111,7.668055555555556,Weisshorn-Matterhorn,I/B-09.II-D,Valais,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/OberGabelhorn.jpg/285px-OberGabelhorn.jpg
24,Gran Paradiso,/wiki/Gran_Paradiso,4061,1888,45.518055555555556,7.267222222222222,Gran Paradiso Alps,I/B-07.IV-A,Aosta Valley,IT,1860,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Gran_Paradiso.jpg/280px-Gran_Paradiso.jpg
25,Piz Bernina,/wiki/Piz_Bernina,4049,2234,46.382222222222225,9.908055555555556,Bernina Range,II/A-15.III-A,Graubünden,CH,1850,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/PizBernina3.jpg/285px-PizBernina3.jpg
26,Gross Fiescherhorn,/wiki/Gross_Fiescherhorn,4049,398,46.55138888888889,8.061388888888889,Bernese Alps,I/B-12.II-B,Bern/Valais,CH,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Gross_Fiescherhorn.jpg/285px-Gross_Fiescherhorn.jpg
27,Gross Grünhorn,/wiki/Gross_Gr%C3%BCnhorn,4044,305,46.53194444444444,8.077777777777778,Bernese Alps,I/B-12.II-B,Valais,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Fiescherhorn_and_Gr%C3%BCnhorn.jpg/285px-Fiescherhorn_and_Gr%C3%BCnhorn.jpg
28,Weissmies,/wiki/Weissmies,4017,1186,46.12777777777778,8.012222222222222,Weissmies Alps,I/B-09.V-C,Valais,CH,1855,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Weissmies01.jpg/285px-Weissmies01.jpg
29,Lagginhorn,/wiki/Lagginhorn,4010,511,46.157222222222224,8.003055555555555,Weissmies Alps,I/B-09.V-C,Valais,CH,1856,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Lagginhorn_west_face.jpg/285px-Lagginhorn_west_face.jpg
30,Piz Zupò,/wiki/Piz_Zup%C3%B2,3996,405,46.36833333333333,9.931388888888888,Bernina Range,II/A-15.III-A,Graub./Sondrio,CH/IT,1863,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/ZupoVonArgient.jpg/285px-ZupoVonArgient.jpg
31,Gletscherhorn,/wiki/Gletscherhorn,3983,346,46.51277777777778,7.967777777777778,Bernese Alps,I/B-12.II-D,Bern/Valais,CH,1867,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gletscherhorn.jpg/285px-Gletscherhorn.jpg
32,Meije,/wiki/Meije,3982,824,45.00472222222222,6.3086111111111105,Massif des Écrins,I/A-05.III-B,Isère/H-Alpes,FR,1877,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Pic_de_la_Meije.jpg/280px-Pic_de_la_Meije.jpg
33,Eiger,/wiki/Eiger,3967,362,46.5775,8.005277777777778,Bernese Alps,I/B-12.II-B,Bern,CH,1858,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/North_face.jpg/285px-North_face.jpg
34,Grivola,/wiki/Grivola,3969,714,45.59583333333334,7.2575,Gran Paradiso Alps,I/B-07.IV-A,Aosta Valley,IT,1859,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Grivola_0002.JPG/280px-Grivola_0002.JPG
35,Grand Cornier,/wiki/Grand_Cornier,3962,431,46.051944444444445,7.6113888888888885,Weisshorn-Matterhorn,I/B-09.II-C,Valais,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/GrandCornier.jpg/285px-GrandCornier.jpg
36,Ailefroide,/wiki/Ailefroide,3954,762,44.885,6.356388888888889,Massif des Écrins,I/A-05.III-C,Isère/H-Alpes,FR,1870,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Ailefroide_%283953%29_Face_Nord.jpg/280px-Ailefroide_%283953%29_Face_Nord.jpg
37,Mont Pelvoux,/wiki/Mont_Pelvoux,3943,465,44.8975,6.396666666666667,Massif des Écrins,I/A-05.III-C,Hautes-Alpes,FR,1828,Error
38,Piz Roseg,/wiki/Piz_Roseg,3937,415,46.37361111111111,9.883055555555556,Bernina Range,II/A-15.III-A,Graubünden,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Piz_Roseg.jpg/285px-Piz_Roseg.jpg
39,Bietschhorn,/wiki/Bietschhorn,3934,806,46.391666666666666,7.850833333333333,Bernese Alps,I/B-12.II-E,Valais,CH,1859,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bietschhorn01.jpg/285px-Bietschhorn01.jpg
40,Trugberg,/wiki/Trugberg,3933,306,46.54666666666667,8.015277777777778,Bernese Alps,I/B-12.II-B,Valais,CH,1871,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Grosser_Aletschgletscher.jpg/285px-Grosser_Aletschgletscher.jpg
41,Aiguille de Tré la Tête,/wiki/Aiguille_de_Tr%C3%A9_la_T%C3%AAte,3930,588,45.79472222222222,6.8149999999999995,Mont Blanc massif,I/B-07.V-A,Aosta Valley,IT,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Trelatete.jpg/280px-Trelatete.jpg
42,Pic Sans Nom,/wiki/Pic_Sans_Nom,3913,340,44.89333333333333,6.383888888888889,Massif des Écrins,I/A-05.III-C,Hautes-Alpes,FR,1877,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Pic_Sans_Nom.jpg/280px-Pic_Sans_Nom.jpg
43,Gross Wannenhorn,/wiki/Gross_Wannenhorn,3906,626,46.49388888888889,8.096944444444444,Bernese Alps,I/B-12.II-B,Valais,CH,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Wannenhorn.jpg/285px-Wannenhorn.jpg
44,Ortler,/wiki/Ortler,3905,1953,46.50888888888889,10.544722222222221,Ortler Alps,II/C-28.I-A,South Tyrol,IT,1804,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/L%27Ortler.jpg/280px-L%27Ortler.jpg
45,Aiguille d'Argentière,/wiki/Aiguille_d%27Argenti%C3%A8re,3901,473,45.96,7.02,Mont Blanc massif,I/B-07.V-C,Valais/U-Savoy,CH/FR,1864,Error
46,Ruinette,/wiki/Ruinette,3875,851,45.97916666666667,7.400277777777778,Grand Combin Alps,I/B-09.I-D,Valais,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/LaRuinette.jpg/285px-LaRuinette.jpg
47,Aiguille de Triolet,/wiki/Aiguille_de_Triolet,3870,301,45.916666666666664,7.024444444444445,Mont Blanc massif,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1874,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/013_Pr%C3%A9_de_Bar.jpg/280px-013_Pr%C3%A9_de_Bar.jpg
48,Grande Casse,/wiki/Grande_Casse,3855,1305,45.405277777777776,6.8277777777777775,Vanoise massif,I/B-07.II-B,Savoy,FR,1860,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/La_grande_casse_massif_vanoise.JPG/280px-La_grande_casse_massif_vanoise.JPG
49,Königspitze / Gran Zebrù,/wiki/K%C3%B6nigspitze,3851,424,46.478611111111114,10.568333333333333,Ortler Alps,II/C-28.I-A,S-Tyrol/Sondrio,IT,1854,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Koenigsspitze.jpg/280px-Koenigsspitze.jpg
50,Aiguille du Midi,/wiki/Aiguille_du_Midi,3842,310,45.87861111111111,6.887499999999999,Mont Blanc massif,I/B-07.V-B,Upper Savoy,FR,1856,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Aiguille-du-Midi-sundown.JPG/280px-Aiguille-du-Midi-sundown.JPG
51,Monviso / Monte Viso / Vísol,/wiki/Monte_Viso,3841,2062,44.6675,7.090833333333333,Southern Cottian Alps,I/A-04.I-C,Cuneo,IT,1861,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Monviso001.jpg/280px-Monviso001.jpg
52,Bouquetins,/wiki/Bouquetins,3838,490,45.98222222222223,7.545277777777778,Weisshorn-Matterhorn,I/B-09.II-A,Valais/Aosta,CH/IT,1871,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bouquetins.jpg/285px-Bouquetins.jpg
53,Tour Noir,/wiki/Tour_Noir,3837,302,45.94888888888889,7.0375,Mont Blanc massif,I/B-07.V-C,Valais/U-Savoy,CH/FR,1876,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/TourNoir.jpg/285px-TourNoir.jpg
54,Aiguille du Chardonnet,/wiki/Aiguille_du_Chardonnet,3824,503,45.96888888888889,7.001111111111111,Mont Blanc massif,I/B-07.V-C,Upper Savoy,FR,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Aiguille_du_Chardonnet_from_Argenti%C3%A8re.JPG/280px-Aiguille_du_Chardonnet_from_Argenti%C3%A8re.JPG
55,Nesthorn,/wiki/Nesthorn,3821,636,46.413333333333334,7.926111111111111,Bernese Alps,I/B-12.II-E,Valais,CH,1865,Error
56,Mont Dolent,/wiki/Mont_Dolent,3820,330,45.9225,7.046111111111111,Mont Blanc massif,I/B-07.V-C,Valais/Aosta,CH/IT,1864,Error
57,Aiguille des Glaciers,/wiki/Aiguille_des_Glaciers,3816,301,45.77861111111111,6.8025,Mont Blanc massif,I/B-07.V-A,Aosta/U-Savoy,FR/IT,1878,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Aigdesglaciers.jpg/280px-Aigdesglaciers.jpg
58,Le Râteau,/wiki/Le_R%C3%A2teau,3809,452,45.00083333333333,6.283055555555555,Massif des Écrins,I/A-05.III-B,Isère/H-Alpes,FR,1873,Error
59,Großglockner,/wiki/Gro%C3%9Fglockner,3798,2428,47.07416666666667,12.694444444444445,Glockner Group,II/A-17.II-C,Carinthia/E-Tyrol,AT,1800,Error
60,Schinhorn,/wiki/Schinhorn,3797,422,46.45166666666667,7.946666666666667,Bernese Alps,I/B-12.II-E,Valais,CH,1869,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Hollandia.jpg/285px-Hollandia.jpg
61,Pointe de Zinal,/wiki/Pointe_de_Zinal,3789,301,46.026944444444446,7.630555555555556,Weisshorn-Matterhorn,I/B-09.II-C,Valais,CH,1870,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/PointeDeZinalFromS.jpg/280px-PointeDeZinalFromS.jpg
62,Lauterbrunnen Breithorn,/wiki/Lauterbrunnen_Breithorn,3780,443,46.478611111111114,7.876666666666667,Bernese Alps,I/B-12.II-D,Bern/Valais,CH,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Breithorn1.jpg/285px-Breithorn1.jpg
63,Mont Pourri,/wiki/Mont_Pourri,3779,1127,45.528055555555554,6.860277777777777,Vanoise massif,I/B-07.II-C,Savoy,FR,1861,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/MontPourri001.jpg/280px-MontPourri001.jpg
64,Aiguille Noire de Peuterey,/wiki/Aiguille_Noire_de_Peuterey,3772,343,45.81527777777777,6.893055555555555,Mont Blanc massif,I/B-07.V-B,Aosta Valley,IT,1877,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Aiguille_Noire_de_Peuterey_002.JPG/280px-Aiguille_Noire_de_Peuterey_002.JPG
65,Wildspitze,/wiki/Wildspitze,3770,2263,46.88527777777778,10.867222222222223,Ötztal Alps,II/A-16.I-A,North Tyrol,AT,1848,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Wildspitzefromtiefenbachkogel.JPG/280px-Wildspitzefromtiefenbachkogel.JPG
66,Monte Cevedale,/wiki/Monte_Cevedale,3769,531,46.443888888888885,10.616666666666667,Ortler Alps,II/C-28.I-A,Sondrio/Trentino,IT,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Cevedale.png/280px-Cevedale.png
67,Grande Ruine,/wiki/Grande_Ruine,3765,496,44.967777777777776,6.329722222222222,Massif des Écrins,I/A-05.III-A,Isère/H-Alpes,FR,1873,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/La_Grande_Ruine%2C_glacier_du_Clot_des_Cavales%2C_Plan_de_Valfourche_et_la_Romanche_%28Ecrins%29.JPG/280px-La_Grande_Ruine%2C_glacier_du_Clot_des_Cavales%2C_Plan_de_Valfourche_et_la_Romanche_%28Ecrins%29.JPG
68,Aiguille de Leschaux,/wiki/Aiguille_de_Leschaux,3759,309,45.8875,7.006944444444445,Mont Blanc massif,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1872,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Aiguille_de_Leschaux.png/280px-Aiguille_de_Leschaux.png
69,Pointe de Charbonnel,/wiki/Pointe_de_Charbonnel,3752,997,45.280277777777776,7.055,Graian Alps - SE,I/B-07.I-A,Savoy,FR,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Pointe_de_Charbonnel_et_pointe_de_Tierce_03_by_Line1.jpg/280px-Pointe_de_Charbonnel_et_pointe_de_Tierce_03_by_Line1.jpg
70,Piz Morteratsch,/wiki/Piz_Morteratsch,3751,324,46.40277777777778,9.901666666666667,Bernina Range,II/A-15.III-A,Graubünden,CH,1858,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/PizMorteratsch.jpg/285px-PizMorteratsch.jpg
71,Aiguille de la Grande Sassière ,/wiki/Aiguille_de_la_Grande_Sassi%C3%A8re,3747,792,45.505,7,Graian Alps - Central,I/B-07.III-A,Savoy/Aosta,FR/IT,1808,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Sassiere_001.jpg/280px-Sassiere_001.jpg
72,Weißkugel,/wiki/Wei%C3%9Fkugel,3739,569,46.797777777777775,10.72638888888889,Ötztal Alps,II/A-16.I-A,N-Tyrol/S-Tyrol,AT/IT,1845,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/WeisskugelFromN.jpg/280px-WeisskugelFromN.jpg
73,Roche Faurio,/wiki/Roche_Faurio,3730,363,44.94194444444444,6.358055555555556,Massif des Écrins,I/A-05.III-A,Isère,FR,1873,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Roche_Faurio_e_Pointe_Louise.jpg/280px-Roche_Faurio_e_Pointe_Louise.jpg
74,Mont Vélan,/wiki/Mont_V%C3%A9lan,3726,620,45.891666666666666,7.251666666666667,Grand Combin Alps,I/B-09.I-B,Valais/Aosta,CH/IT,1779,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Mont_V%C3%A9lan_from_Plateau_Du_Couloir.jpg/285px-Mont_V%C3%A9lan_from_Plateau_Du_Couloir.jpg
75,Evêque,/wiki/Ev%C3%AAque,3716,647,45.964444444444446,7.502777777777778,Grand Combin Alps,I/B-09.I-C,Valais,CH,1867,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Ev%C3%AAque.JPG/285px-Ev%C3%AAque.JPG
76,Combin de Corbassière ,/wiki/Combin_de_Corbassi%C3%A8re,3716,312,45.97805555555556,7.280555555555556,Grand Combin Alps,I/B-09.I-B,Valais,CH,1851,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Louvie.jpg/280px-Louvie.jpg
77,La Singla,/wiki/La_Singla,3714,452,45.94583333333333,7.4719444444444445,Grand Combin Alps,I/B-09.I-C,Valais/Aosta,CH/IT,1867,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Otemma.jpg/280px-Otemma.jpg
78,Wetterhörner (Mittelhorn),/wiki/Mittelhorn,3704,579,46.63527777777778,8.124722222222223,Bernese Alps,I/B-12.II-C,Bern,CH,1845,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Wetterhorn2.jpg/285px-Wetterhorn2.jpg
79,Le Pleureur,/wiki/Le_Pleureur,3704,467,46.01638888888889,7.369166666666667,Grand Combin Alps,I/B-09.I-D,Valais,CH,1867,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Lac_de_Mauvoisin_Le_Pleureur_Glacier_du_Gi%C3%A9tro.jpg/280px-Lac_de_Mauvoisin_Le_Pleureur_Glacier_du_Gi%C3%A9tro.jpg
80,Balmhorn,/wiki/Balmhorn,3698,1022,46.425,7.693611111111111,Bernese Alps,I/B-12.II-D,Bern/Valais,CH,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Balmhorn_from_Allmenalp.jpg/285px-Balmhorn_from_Allmenalp.jpg
81,Dent Parrachée,/wiki/Dent_Parrach%C3%A9e,3697,1180,45.28916666666667,6.756388888888889,Vanoise massif,I/B-07.II-D,Savoy,FR,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Dentparrachee.jpg/280px-Dentparrachee.jpg
82,Torre del Gran San Pietro,/wiki/Torre_del_Gran_San_Pietro,3692,377,45.52583333333333,7.358888888888888,Gran Paradiso Alps,I/B-07.IV-A,Aosta/Turin,IT,1867,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/San_Pietro_16.jpg/280px-San_Pietro_16.jpg
83,Monte Disgrazia,/wiki/Monte_Disgrazia,3678,1116,46.26916666666666,9.749444444444444,Bregaglia Range,II/A-15.III-B,Sondrio,IT,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Monte_Disgrazia.JPG/266px-Monte_Disgrazia.JPG
84,Punta San Matteo,/wiki/Punta_San_Matteo,3678,369,46.37777777777778,10.567222222222222,Ortler Alps,II/C-28.I-A,Sondrio/Trentino,IT,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Punta_San_Matteo_und_Pizzo_Tresero.jpg/280px-Punta_San_Matteo_und_Pizzo_Tresero.jpg
85,Uia di Ciamarella,/wiki/Uia_di_Ciamarella,3676,664,45.328611111111115,7.145277777777778,Graian Alps - SE,I/B-07.I-B,Turin,IT,1857,Error
86,Dent de Perroc,/wiki/Dent_de_Perroc,3676,408,46.03944444444444,7.523055555555556,Weisshorn-Matterhorn,I/B-09.II-A,Valais,CH,1871,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/DentDePerrocEvolene.jpg/280px-DentDePerrocEvolene.jpg
87,Dômes de Miage,/wiki/D%C3%B4mes_de_Miage,3673,324,45.815555555555555,6.800277777777778,Mont Blanc massif,I/B-07.V-A,Savoy/U-Savoy,FR,1858,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/D%C3%B4meMiage_from_Miage.jpg/280px-D%C3%B4meMiage_from_Miage.jpg
88,Les Bans,/wiki/Les_Bans,3669,386,44.84861111111111,6.336666666666666,Massif des Écrins,I/A-05.III-C,Isère/H-Alpes,FR,1878,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Bans_face_nord.jpg/280px-Bans_face_nord.jpg
89,Großvenediger,/wiki/Gro%C3%9Fvenediger,3666,1185,47.10916666666667,12.346388888888889,Venediger Group,II/A-17.II-A,E-Tyrol/Salzburg,AT,1841,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Gro%C3%9Fvenediger_S%C3%BCd.JPG/280px-Gro%C3%9Fvenediger_S%C3%BCd.JPG
90,Montagne des Agneaux,/wiki/Montagne_des_Agneaux,3664,460,44.95027777777778,6.430555555555556,Massif des Écrins,I/A-05.III-A,Hautes-Alpes,FR,1873,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Les_agneaux_003.jpg/280px-Les_agneaux_003.jpg
91,Blüemlisalphorn,/wiki/Bl%C3%BCemlisalphorn,3661,874,46.48888888888889,7.7725,Bernese Alps,I/B-12.II-D,Bern,CH,1860,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Bl%C3%BCmlisalp.jpg/285px-Bl%C3%BCmlisalp.jpg
92,Portjengrat: Pizzo d'Andolla,/wiki/Portjengrat,3654,411,46.100833333333334,8.034722222222221,Weissmies Alps,I/B-09.V-B,Valais/V-C-O,CH/IT,1871,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Portjen-d-andolla.jpg/280px-Portjen-d-andolla.jpg
93,Grande Motte,/wiki/Grande_Motte,3653,401,45.41138888888889,6.870277777777778,Vanoise massif,I/B-07.II-B,Savoy,FR,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Leisse02.jpg/220px-Leisse02.jpg
94,Aiguilles Rouges d'Arolla,/wiki/Aiguilles_Rouges_d%27Arolla,3644,789,46.055277777777775,7.433611111111111,Grand Combin Alps,I/B-09.I-D,Valais,CH,1870,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Aiguilles_Rouges_Arolla.JPG/280px-Aiguilles_Rouges_Arolla.JPG
95,Ciarforon,/wiki/Ciarforon,3643,349,45.49333333333333,7.247222222222223,Gran Paradiso Alps,I/B-07.IV-A,Aosta/Turin,IT,1871,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Ciarforon_dalla_Tresenta.JPG/280px-Ciarforon_dalla_Tresenta.JPG
